employee_id,age,department,job_role,education_level,marital_status,gender,over_time,monthly_income,salary,tenure,attrition
31,25,Sales,Sales Executive,3,Single,Male,Yes,3000,40000,12,Yes
32,30,HR,HR Manager,2,Married,Female,No,4500,50000,24,No
33,35,IT,IT Specialist,4,Divorced,Male,Yes,5000,45000,36,Yes
34,40,Finance,Financial Analyst,1,Single,Female,No,6000,60000,48,No
35,45,Marketing,Marketing Coordinator,3,Married,Male,Yes,7000,55000,60,Yes
36,50,Sales,Sales Executive,2,Divorced,Female,No,8000,50000,72,No
37,55,IT,HR Manager,4,Single,Male,Yes,5500,45000,84,Yes
38,60,Finance,IT Specialist,3,Married,Female,No,6400,58000,96,No
39,26,HR,Financial Analyst,2,Divorced,Male,Yes,5000,60000,18,Yes
40,32,Marketing,Marketing Coordinator,1,Single,Female,No,4500,47000,30,No
41,25,Sales,Sales Executive,3,Married,Male,Yes,3000,40000,12,Yes
42,30,HR,HR Manager,2,Divorced,Female,No,4500,50000,24,No
43,35,IT,IT Specialist,4,Single,Male,Yes,5000,45000,36,Yes
44,40,Finance,Financial Analyst,1,Married,Female,No,6000,60000,48,No
45,45,Marketing,Marketing Coordinator,3,Divorced,Male,Yes,7000,55000,60,Yes
46,50,Sales,Sales Executive,2,Single,Female,No,8000,50000,72,No
47,55,IT,HR Manager,4,Married,Male,Yes,5500,45000,84,Yes
48,60,Finance,IT Specialist,3,Divorced,Female,No,6400,58000,96,No
49,26,HR,Financial Analyst,2,Single,Male,Yes,5000,60000,18,Yes
50,32,Marketing,Marketing Coordinator,1,Married,Female,No,4500,47000,30,No
51,25,Sales,Sales Executive,3,Divorced,Male,Yes,3000,40000,12,Yes
52,30,HR,HR Manager,2,Single,Female,No,4500,50000,24,No
53,35,IT,IT Specialist,4,Married,Male,Yes,5000,45000,36,Yes
54,40,Finance,Financial Analyst,1,Divorced,Female,No,6000,60000,48,No
55,45,Marketing,Marketing Coordinator,3,Single,Male,Yes,7000,55000,60,Yes
56,50,Sales,Sales Executive,2,Married,Female,No,8000,50000,72,No
57,55,IT,HR Manager,4,Divorced,Male,Yes,5500,45000,84,Yes
58,60,Finance,IT Specialist,3,Single,Female,No,6400,58000,96,No
59,26,HR,Financial Analyst,2,Married,Male,Yes,5000,60000,18,Yes
60,32,Marketing,Marketing Coordinator,1,Divorced,Female,No,4500,47000,30,No
61,25,Sales,Sales Executive,3,Single,Male,Yes,3000,40000,12,Yes
62,30,HR,HR Manager,2,Married,Female,No,4500,50000,24,No
63,35,IT,IT Specialist,4,Divorced,Male,Yes,5000,45000,36,Yes
64,40,Finance,Financial Analyst,1,Single,Female,No,6000,60000,48,No
65,45,Marketing,Marketing Coordinator,3,Married,Male,Yes,7000,55000,60,Yes
66,50,Sales,Sales Executive,2,Divorced,Female,No,8000,50000,72,No
67,55,IT,HR Manager,4,Single,Male,Yes,5500,45000,84,Yes
68,60,Finance,IT Specialist,3,Married,Female,No,6400,58000,96,No
69,26,HR,Financial Analyst,2,Divorced,Male,Yes,5000,60000,18,Yes
70,32,Marketing,Marketing Coordinator,1,Single,Female,No,4500,47000,30,No
71,25,Sales,Sales Executive,3,Married,Male,Yes,3000,40000,12,Yes
72,30,HR,HR Manager,2,Divorced,Female,No,4500,50000,24,No
73,35,IT,IT Specialist,4,Single,Male,Yes,5000,45000,36,Yes
74,40,Finance,Financial Analyst,1,Married,Female,No,6000,60000,48,No
75,45,Marketing,Marketing Coordinator,3,Divorced,Male,Yes,7000,55000,60,Yes
76,50,Sales,Sales Executive,2,Single,Female,No,8000,50000,72,No
77,55,IT,HR Manager,4,Married,Male,Yes,5500,45000,84,Yes
78,60,Finance,IT Specialist,3,Divorced,Female,No,6400,58000,96,No
79,26,HR,Financial Analyst,2,Single,Male,Yes,5000,60000,18,Yes
80,32,Marketing,Marketing Coordinator,1,Married,Female,No,4500,47000,30,No
81,25,Sales,Sales Executive,3,Divorced,Male,Yes,3000,40000,12,Yes
82,30,HR,HR Manager,2,Single,Female,No,4500,50000,24,No
83,35,IT,IT Specialist,4,Married,Male,Yes,5000,45000,36,Yes
84,40,Finance,Financial Analyst,1,Divorced,Female,No,6000,60000,48,No
85,45,Marketing,Marketing Coordinator,3,Single,Male,Yes,7000,55000,60,Yes
86,50,Sales,Sales Executive,2,Married,Female,No,8000,50000,72,No
87,55,IT,HR Manager,4,Divorced,Male,Yes,5500,45000,84,Yes
88,60,Finance,IT Specialist,3,Single,Female,No,6400,58000,96,No
89,26,HR,Financial Analyst,2,Married,Male,Yes,5000,60000,18,Yes
90,32,Marketing,Marketing Coordinator,1,Divorced,Female,No,4500,47000,30,No
91,25,Sales,Sales Executive,3,Single,Male,Yes,3000,40000,12,Yes
92,30,HR,HR Manager,2,Married,Female,No,4500,50000,24,No
93,35,IT,IT Specialist,4,Divorced,Male,Yes,5000,45000,36,Yes
94,40,Finance,Financial Analyst,1,Single,Female,No,6000,60000,48,No
95,45,Marketing,Marketing Coordinator,3,Married,Male,Yes,7000,55000,60,Yes
96,50,Sales,Sales Executive,2,Divorced,Female,No,8000,50000,72,No
97,55,IT,HR Manager,4,Single,Male,Yes,5500,45000,84,Yes
98,60,Finance,IT Specialist,3,Married,Female,No,6400,58000,96,No
99,26,HR,Financial Analyst,2,Divorced,Male,Yes,5000,60000,18,Yes
100,32,Marketing,Marketing Coordinator,1,Single,Female,No,4500,47000,30,No
